Names,Male,Age,Total_Purchase,Account_Manager,Years,Num_Sites,Onboard_date,Location,Company,Churn
Jeff Davis,1,43,8583.5,1,4.39,10,2014-08-23 3:44,"115 Andrews Vista South Kristinchester, SD 82774-5194","Klein, Dalton and Doyle",0
Stacey Harding,1,39,11008,0,4.42,8,2007-12-22 13:07,"454 Sara Ways New Brandistad, AL 82361",Robinson-Koch,0
William Perkins,1,42,9625.89,1,5.84,9,2014-02-03 0:37,"54740 Jeffrey Place Apt. 914 Amandaland, MI 87447",Mills-Howe,0
James Contreras,1,46,11119.11,1,3.51,14,2008-12-08 9:23,"10454 David Greens South Jenniferbury, FM 87283-5336",Taylor-Robbins,0
Brian Morse,1,46,9982.55,1,4.75,7,2009-05-05 4:56,"7865 Gutierrez Expressway Suite 948 Tiffanyside, AR 59662-2367",Robinson Inc,0
Jennifer Hernandez,0,39,11159.46,0,3.95,11,2010-08-23 13:43,"1526 Jessica Corner Suite 592 Lindsayshire, OH 56989-0550","Howe, Carpenter and Washington",0
Heather Figueroa,0,36,12668.26,0,4.54,12,2007-06-27 2:09,"945 Blankenship Plain Suite 062 East Christopherville, MI 15647-1190",Martin and Sons,0
Russell Marks,0,38,9087.9,0,2.7,10,2015-02-10 10:17,"310 Taylor Walks Apt. 649 Lake Shane, MD 23982",Mcknight and Sons,0
Riley Gill,1,41,9091.21,0,4.55,11,2007-10-20 8:11,"30353 Amber Extension Apt. 202 Austinberg, VA 89084","Robertson, Young and Mcfarland",0
Brian Love,0,44,8755.02,1,5.71,8,2010-06-15 2:58,"43677 Smith Mission Meganview, VA 54055",Quinn and Sons,0
Lauren Walker,0,37,6362.93,1,6.8,7,2007-08-02 2:34,"599 Graham Courts North Katherine, WI 92642",Young-Newman,0
Melanie Bender,1,48,13189.35,0,3.25,7,2006-01-18 3:29,"007 Shaw Trafficway Patrickstad, PA 29094-0827",Richardson-Keller,0
Samuel Castillo,1,47,10584.71,0,6.05,8,2006-04-14 4:20,"63139 Kristin Locks Suite 522 Lambton, WI 60723-5177",Jimenez-Thompson,0
Ashley Soto,1,49,9853.64,1,6.95,6,2012-01-01 21:48,"275 Thompson Street Lake Nathan, AS 67338-1025",Brown Inc,0
Adriana James,0,36,10448.09,0,4.13,8,2016-04-09 9:02,USNV Ferguson FPO AP 58507,"Doyle, Butler and Coleman",0
Andrea Salas,1,42,11473.38,1,2.87,10,2015-03-19 22:32,"308 Graham Corners Valeriehaven, SC 12062",Blackwell PLC,0
Erik Johnson,1,39,8986.28,0,4.36,8,2007-12-12 11:10,"6987 Weiss Flats Apt. 770 North Maria, MS 98836-9686",Lewis Group,0
Christopher Whitehead,1,33,13314.19,0,5.45,9,2007-01-10 1:47,"323 Farmer Cape Apt. 744 Jonathanfort, NJ 29387-2732",Harvey-Mckay,0
Casey Mcdaniel,1,41,9918.77,0,4.02,10,2016-03-04 4:04,Unit 5523 Box 7609 DPO AA 77484-6339,Bishop and Sons,0
Jeremiah Lee,0,45,12783.21,1,4.47,10,2015-12-02 8:14,"03538 Gonzalez Forges Hamiltonbury, CA 87284",Snyder PLC,0
Jennifer Patterson,1,46,7026.18,0,6.3,8,2012-01-31 23:08,"01546 Jared Key Justinview, OR 04118-6027","Carlson, King and Murray",0
Lawrence Morton,1,48,9706.88,0,6.45,8,2006-08-24 18:32,"0434 Douglas Ridge Suite 884 Raychester, DE 82008",Clark LLC,0
Jeffrey Hunt,1,42,10236.95,1,5.71,8,2013-12-11 11:20,"479 Samantha Groves Suite 505 Morrowshire, CA 94582-2855",Garcia Group,0
Gina Richardson,1,33,13157.08,1,5.04,10,2006-08-14 9:24,"44577 John Keys Robertview, FL 73433-8410",Murphy Inc,0
Richard Farmer,0,44,8588.46,1,7.77,8,2012-05-07 9:58,"115 Courtney Springs Suite 396 Jenniferland, IL 43853-4718","Schroeder, Hines and Thompson",0
Brian White,1,48,7778.73,1,4.18,8,2013-01-09 6:06,"PSC 1209, Box 3739 APO AE 03896","Martinez, Ochoa and Jennings",0
Richard Meadows,0,42,10268,0,5.33,6,2007-09-14 4:40,"64425 Brittany Common Joycechester, NE 85166-7648","Thompson, Rojas and Moore",0
Omar Moore,1,34,9845.35,0,4.82,7,2008-12-04 20:34,"960 Joseph Landing South Philip, MH 88524-5021",Ortiz-Nixon,0
Tasha Reed,1,37,11912.13,0,5.67,10,2011-02-19 18:04,"575 Kara Shores Anthonyburgh, VT 30056",Price Group,0
Albert Clayton,0,33,12115.91,1,5.5,9,2010-08-09 0:14,Unit 6274 Box 5329 DPO AA 54598,"Mann, Roberts and Hoffman",0
John Mejia,1,35,10801.37,1,5.64,11,2014-12-04 7:09,"1159 Charles Mountain Elainechester, ND 45109",Adams-Crawford,0
Diane Terry,0,53,13173.82,0,5.26,7,2007-10-15 3:45,"543 Bell Ranch Apt. 002 Kevinfurt, ID 14051-9447","Walton, Barnes and Simon",0
Christina Maldonado,0,49,9940.76,0,5.72,11,2006-08-28 11:16,"483 Douglas Club Apt. 632 Port Valerie, PW 88649-6413","Moreno, Green and Moreno",0
Kathryn Malone,1,46,12261.79,1,3.72,10,2010-02-17 15:02,"52750 Roberts Via Stephenstad, ME 82199-5372",Stewart-Nichols,0
Cynthia Burns,1,47,12987.28,0,5.86,10,2007-08-30 7:15,USCGC Gould FPO AP 18053-9165,"Perez, Miller and Mcdowell",0
Christina Reed,1,51,4523.91,0,3.98,8,2013-03-06 1:02,"53000 Mary Bypass New Markbury, IL 60012-4197",Atkins Group,0
Brittney Stokes,0,41,6172.23,0,4.28,8,2013-11-11 4:06,"1045 Kimberly Avenue South John, AR 19601",Hood-Webb,0
Mary Griffin,1,49,6283.67,0,6.35,11,2007-01-07 4:15,"91062 Michelle Underpass Lloydmouth, ND 88737",Mathews-Clark,0
Carla Wolfe,1,48,7232.06,1,4.9,6,2009-11-21 12:47,"67507 Brittany Prairie Apt. 279 Solisborough, VA 81388-7017",Ross Group,0
Emily Little,1,35,6683.82,1,7.82,7,2015-05-06 23:55,"1779 Jessica Glen West Tylerport, VT 62988-2923",Moore PLC,0
Jason Santana,0,39,9408.96,1,3.83,4,2011-09-30 6:15,"8072 Kathy Harbors Apt. 845 Normanburgh, MA 46572-1532",Gonzalez LLC,0
Willie Proctor,0,47,8291.93,0,4.47,7,2012-04-28 20:15,"62726 Tracey Passage Apt. 685 South Brittany, RI 28461",Schmidt Group,0
Todd Harris,1,41,10017.82,0,6,8,2012-09-10 22:22,"28501 Shawn Village Apt. 894 New Jasonhaven, WY 35010-3731","Henry, Warren and Lyons",0
Kimberly Nichols,0,38,7320.49,0,1.58,10,2008-01-16 23:56,"4920 Byrd Ford Danielbury, VI 04457",King-Rodriguez,0
Derek Russell,1,43,8817.29,0,3.19,8,2010-05-28 12:49,"2445 Jean Row Vasquezbury, RI 25867-8317",Hartman-Smith,0
Robert Huff,0,36,8948.86,0,7.37,10,2010-12-05 10:46,"36802 Wallace Parkways Jacquelineland, IL 81451","Carlson, Guerra and Daniel",0
Kelly Terry,1,45,3689.95,1,5.01,11,2014-10-09 10:05,"3798 Johnson Gardens Hughesside, PR 65467","Ellis, Johnston and Sullivan",0
Francisco Martinez,0,52,8185.22,1,5.76,8,2016-10-12 21:52,"842 Hebert Wells Suite 823 North Tina, WI 75284-1996","Washington, Watson and Jarvis",0
Jason Garcia,0,43,9347.89,1,4.17,8,2009-01-19 11:50,"751 Robert Lock Suite 515 Smithmouth, KS 83199-2220",Reid and Sons,0
Daniel Johnson,1,42,12888.85,1,4.79,8,2010-03-30 4:37,"01614 Parker Garden New Patricia, SD 99014",Turner and Sons,0
Gregory Blake,0,41,5387.41,1,4.17,8,2013-03-26 16:02,"25024 Rasmussen Haven Port Brendantown, UT 25626-9953","Brooks, Sutton and Castro",0
Richard Odonnell,0,38,7605.49,0,6.99,10,2014-03-13 19:27,"0297 Mendoza Motorway Lisastad, IN 31184-3807","Lewis, West and Snyder",0
Monica Espinoza,0,45,8480.93,0,4.57,9,2009-06-26 10:22,"602 Jennifer Brook Suite 753 North Alison, NJ 24477","Pratt, Carter and Lopez",0
David Hansen,1,29,11274.46,1,4.43,8,2014-03-31 7:43,"742 Ortiz Street Apt. 568 Robertland, AS 94732-7050","Crawford, Scott and Smith",0
Elizabeth Chandler,0,43,13116.73,0,3.57,9,2006-04-15 3:59,USNS Garcia FPO AA 23264-4875,Morris Inc,0
Michael White,1,32,7896.65,0,7.12,8,2015-10-17 17:47,"48465 Susan Summit Suite 561 Hawkinston, WY 60818",Hawkins-Mckay,0
William Pacheco,0,36,12086.92,1,5.52,6,2008-03-11 20:48,"PSC 6149, Box 2267 APO AA 69767-2977",Wilkerson-Miller,0
Dr. Brandon Adams,1,42,10500.77,0,5.68,6,2013-06-22 6:20,"93971 Jacob Flats Port Shannonton, IN 95823-2039",Friedman-Carroll,0
William Burns,1,38,7673,1,7.42,7,2006-02-25 19:40,"432 Allen Station North Rebecca, MA 78424-2850","Santos, Hughes and Miller",0
Jack Ortega,1,42,14242.7,0,5.79,10,2009-06-09 7:44,"49625 Joseph Mountain West Brandon, AL 19037-8797",Anderson-Evans,0
Jonathan Cooley,1,40,6590.63,1,4.52,7,2012-03-12 14:56,"3012 Kimberly Lights West Teresa, CA 83239",Larsen-Johnson,0
Erin Norris,1,37,15070.32,0,6.91,6,2016-01-02 16:43,"081 Randy Crest Apt. 821 South James, LA 27688-1775",Garcia LLC,0
Michael Grant,0,37,13717.41,1,6.5,7,2014-03-31 8:16,"2978 Luke Cape Tracyfort, NJ 87595-8510","Flores, Davis and Duncan",0
Connor Knapp,1,41,9219.95,1,5.21,10,2015-09-21 16:18,"7805 Kerri Route Marystad, UT 08020","Smith, Simpson and Wolf",0
Megan Jenkins,1,65,10430.5,0,6.5,6,2013-03-10 14:36,"3462 Teresa Falls Apt. 035 Charlesview, MS 09689-7606",Bates-Ramos,0
Sarah Hall,1,45,5200.06,1,6.33,8,2014-05-05 13:36,"3930 Baker Square North Michaelside, PR 98680",Sanchez-Brown,0
Tony Schneider,0,43,11197.42,1,3.48,9,2009-04-30 13:55,"329 Pierce Place Apt. 176 North Tammybury, WV 17594",Harper-Noble,0
Karen Peterson,1,45,13650.64,0,4.96,8,2010-04-05 2:15,"1721 Diana Canyon Suite 811 Dukemouth, NC 04129-3149","Moore, Donaldson and Stevens",0
Tiffany Case,1,42,7351.72,0,5.26,9,2015-09-26 1:05,"0792 Denise Lodge Apt. 903 Jenniferchester, HI 96154-9657",Clark Inc,0
Mary Sanchez,1,33,10306.21,1,6.36,9,2011-12-20 17:01,"073 Joseph Knolls Apt. 112 West Mary, NV 59877","Smith, Wright and Price",0
David Moran,1,37,10147.22,0,6.63,8,2014-07-02 6:46,"278 Barbara Divide Suite 780 North Elizabeth, SC 44587-8722","Harris, Mcdonald and Johnson",0
David Lopez,1,48,10528.71,0,5,9,2007-09-17 5:36,"1630 Robert Points Apt. 793 East Jonathonberg, NH 78592-4122",Good Inc,0
Cynthia Nguyen,1,41,10054.6,1,4.93,6,2015-04-28 16:20,"PSC 5666, Box 1288 APO AE 26505",Sullivan-Weaver,0
Brittany Smith,0,45,8595.24,0,6.4,10,2012-11-08 6:43,"151 Sara Springs Lake Davidside, AK 46384-8806",Patrick-Walker,0
Laura Smith,0,45,6681.61,1,5.6,8,2010-06-16 21:05,"1723 Galloway Groves Apt. 026 Timothystad, PR 36052-9128","West, Gonzales and Shields",0
Michael Dominguez,1,29,10203.18,1,5.82,8,2014-01-03 23:18,"3043 Walters Loaf Suite 575 Christophermouth, TN 25692",Guzman-Hunter,0
Paul Wagner,0,42,10427.12,0,6.64,10,2011-06-04 23:57,"49936 Colleen Stream Port Elizabeth, MN 80287-5385","Santos, Jackson and Guerrero",0
Calvin Coleman,0,39,10388.38,0,5.1,7,2013-07-09 16:29,Unit 9127 Box 5819 DPO AE 24161,Stark-Clarke,0
Lisa Burton,0,39,9353.38,0,4.06,7,2014-02-04 2:19,Unit 9800 Box 2878 DPO AA 75157,Smith-Alexander,0
John Gonzales,0,42,11756.06,0,4.88,8,2014-07-31 14:15,"3880 Denise Curve South Christopher, NC 79432","Martin, White and Hernandez",0
Linda Hubbard,1,40,12295.95,1,5.69,11,2010-01-08 23:22,"8983 Benjamin Run South Kelseytown, AZ 03915",Vincent Group,0
Rachel Hull,1,40,7819.46,1,4.77,9,2014-07-03 11:47,"02794 Edward Summit Suite 660 Victoriahaven, TN 44165",Taylor LLC,0
Tracy Ray,1,34,10674.92,1,3.09,9,2006-08-15 20:48,Unit 3715 Box 1153 DPO AA 36768-7501,Wise Inc,0
Sarah Bailey,1,37,10989.43,0,6.62,10,2013-07-14 15:25,"56493 Becker Stravenue Suite 006 West Anna, MS 49275",Spencer and Sons,0
Aaron King,0,46,7504.79,0,5.98,8,2007-05-13 20:42,"38346 Smith Prairie Arnoldside, MD 33861-4885",Hernandez PLC,0
Bradley Washington,1,46,9306.05,0,5.35,7,2016-01-01 18:31,"149 Paula Divide Vazquezfurt, MN 57597-1890",Smith and Sons,0
Holly Caldwell,0,37,11523.63,1,3.56,7,2014-10-29 11:21,"020 Amy Groves Suite 845 Phillipsport, AL 40594","Spencer, Young and Shaw",0
Cheryl Bruce,0,44,9613.84,1,4.38,8,2014-06-18 19:25,"PSC 5054, Box 2004 APO AP 20629","Oconnor, Hernandez and Bailey",0
Megan Flynn,1,48,13298.38,0,2.99,8,2015-12-06 16:55,"86354 Brenda Manor Port Stevenmouth, NC 39915","Smith, Shelton and Williams",0
Amanda Williams,0,37,8614.75,0,5.03,9,2011-07-07 15:43,"79676 Johnson Villages Apt. 089 Reyesstad, DC 78510",Jones-Fisher,0
Amy Morris,0,45,9951.97,1,4.4,6,2015-04-01 19:58,"017 Gutierrez Fork New Benjamin, VA 99400","Patel, Smith and Campos",0
Teresa Garcia,1,46,11343.33,1,3.69,8,2012-09-20 5:52,"2374 Jackson Walks Larryberg, PW 89438-7588",Ibarra and Sons,0
Thomas Mcintosh,0,38,10026.44,1,6.85,9,2014-01-12 2:04,"510 Alexander Pike New Scottfort, NV 46217-8559",Garrett Ltd,0
Justin Friedman,0,38,8473.65,1,4.78,7,2010-11-29 19:37,"9195 Erin Terrace Suite 818 Lake Feliciaberg, NV 64016-8747",Garcia-Johnson,0
Whitney Beasley,0,42,12989.06,0,5,10,2010-03-15 16:50,"PSC 3448, Box 5424 APO AE 92778-0504",Knight Inc,0
Beverly Perry,1,38,12893.47,1,5.69,5,2012-11-20 5:53,"3145 Cruz Mill North Deborahstad, AR 02085",Mathis Ltd,0
David Sweeney,0,34,7324.32,0,6.69,10,2014-12-16 2:23,"755 Ashley Motorway Suite 227 West Rachel, NH 67933-7552","Adams, Dominguez and Vasquez",0
Amber Williams,0,40,8530.23,1,3.66,10,2012-03-02 18:33,"2896 Diana Spur Suite 985 New Tami, IN 56915","Lee, Daniels and Ryan",0
Lisa Murray,1,46,10675.86,0,3.33,7,2014-12-06 22:07,"943 Briana Circles Lake Joseph, UT 22842-6913","Herring, Lee and Taylor",0
Jose Hoffman,0,43,10300.24,0,6.44,8,2008-06-15 13:51,"244 Johnson Court Lake Justin, MD 66889-8251",Rice PLC,0
Regina Kirby,1,41,10921.54,0,5.07,3,2015-09-04 11:32,"310 Amy Underpass Suite 089 Lake Kevin, DC 23138-4553",Schaefer-Berry,0
Shawn Ramirez,1,42,10527.52,1,8.42,8,2008-02-03 2:07,"7873 Trevino Tunnel Angelamouth, AZ 84280","Gilbert, Bennett and Lindsey",0
Ruben Thomas,1,44,8338.05,0,6.57,11,2008-02-15 18:36,"919 Bennett Gateway Russochester, SC 57606",Cohen-Rodriguez,0
Austin Palmer,1,36,9593.71,0,3.98,6,2009-03-21 0:05,"85112 Raymond Ridge Suite 934 East Christinachester, CO 33248",Lynch-Davies,0
Anthony Hall,0,46,11537.69,1,6.37,7,2011-01-24 7:40,"0910 Bell Mount West Lindseyview, MS 35802",Kelly Group,0
Richard Gardner,1,35,12936.64,1,3.73,6,2010-07-31 2:11,"617 Diane River Lake Jillianton, TX 91296-2338",Alexander-Reed,0
Destiny Morales,1,40,8815.24,0,5.63,9,2012-11-15 4:23,"108 Oscar Rapids Port Vanessa, KY 23348-6290","Martin, Flores and Graham",0
Brittany Murphy,0,42,12300.94,1,6.89,10,2007-06-19 9:53,"892 Elizabeth Mission Apt. 511 West Leslieville, WA 98000-6023","Schmidt, Johnston and Kaufman",0
Tony Soto,1,35,11830.36,1,4.41,6,2006-10-01 16:57,"227 Jennifer Park Smithbury, TN 22659-9788",Nichols-Wade,0
Sharon Torres,0,36,14715.53,1,5.73,9,2014-01-31 0:05,"983 Carl Run Apt. 446 West Christina, NM 45895","Blanchard, Hawkins and Torres",0
Brenda Fuentes,1,44,9214.98,1,6.44,7,2016-03-04 14:24,"443 Shari Plains Apt. 479 Tiffanyside, TN 88122","Boyd, Jennings and Gutierrez",0
Rodney Evans,0,49,8092.13,0,6.32,5,2011-10-22 19:12,"025 Ricky Ford East John, AS 71101-1423",Simmons Inc,0
Robin Woods,0,41,12008.34,1,4.94,7,2009-12-24 12:36,"404 Joshua Estate Apt. 074 Jacobsonside, CT 88758-3164",Bright PLC,0
Jennifer Anderson,1,38,11803.58,1,6.97,6,2015-12-15 11:48,"521 Charles Lakes Lake Michaelland, NE 42708","Stewart, Sanchez and Valentine",0
Tabitha Love,1,37,13498.28,1,7.06,9,2007-11-23 13:38,"8308 Rhodes Crest Apt. 745 Beckyfurt, KS 20974-1928",Stein PLC,0
Diana Carroll,0,46,9601.95,0,5.9,9,2011-08-10 4:56,"3270 Barnes Station Suite 780 Lake Blake, TN 43554-9146",Rubio-Humphrey,0
Matthew Jacobs,1,54,13184.51,0,6.04,8,2013-03-20 17:57,"507 Harris Summit East Kevin, WY 06036-0197","Nichols, Carter and Goodman",0
Rebecca Prince,1,36,4690.57,1,5.41,8,2012-01-25 0:45,"209 Daniel Springs Suite 388 Port Courtneybury, PW 27640-7474",Sandoval-Mcgrath,0
Eric Smith,0,37,11416.56,0,6.06,6,2006-04-03 4:29,"166 Julie Vista Apt. 132 Lake Sarahborough, HI 29875",Thomas-Curtis,0
Jeffrey Hernandez,0,56,9940.54,1,6.57,7,2014-03-04 7:00,"2739 Jackson Mission Rojashaven, WI 86960",Thompson-Elliott,0
William Newman,1,35,13680.25,1,5.79,9,2011-10-07 15:43,"3785 Duran Lodge Port Nicholashaven, MH 08892-1815",Williams-Charles,0
Ashley Smith,1,29,5900.78,1,5.56,8,2007-09-19 6:55,"663 White Tunnel Suite 995 Port Joseph, PR 93959-2444","Jones, Reyes and Cross",0
Sandra Mcintyre,1,36,10339.05,1,6.88,7,2010-08-02 9:34,"10676 Ferguson Ranch Suite 380 Lake Parker, OH 23498",Cowan Inc,0
Robert Joseph,1,46,11538.57,1,7.93,10,2015-04-03 16:15,"95222 Lisa Turnpike South Laurenburgh, NC 33273-8443",Cortez Inc,0
George Chavez,0,43,7178.92,1,5.32,8,2007-12-15 0:13,"63837 Jessica Valleys Apt. 645 East Jasmine, WV 26260-6871","Rodriguez, Moore and Cunningham",0
Joshua Walters,1,51,8840.51,0,2.7,7,2012-08-28 14:56,USS Mcdonald FPO AA 93590,Bennett Ltd,0
John Howard,1,47,14154.26,0,4.73,9,2012-08-19 15:56,"PSC 9026, Box 5801 APO AE 43474",Cantu Inc,0
Deborah Howell,1,42,10583.76,0,6.51,9,2006-08-18 5:47,"9609 Harper Dale New Danieltown, AR 80238-4616",Ortiz Ltd,0
Terry Diaz,0,46,11401.63,0,6.13,5,2014-06-30 15:46,USNV Rose FPO AP 67907-1654,"Charles, Cruz and Marshall",0
Roberto Gonzales,1,41,7495.6,1,6.57,8,2009-11-29 8:47,"13697 Hale Burgs Apt. 574 Jamesfort, UT 03958-6187",Davis and Sons,0
Jesse Mitchell,0,36,8878.96,1,4.66,9,2016-06-24 8:32,"4563 Rebecca Rest Lisaville, GA 03268","Dunn, Hopkins and Adams",0
Linda Allen,1,37,11111.59,1,6,7,2013-11-01 0:22,"9111 Harris Throughway Roblesfurt, MA 91589",Butler-Alexander,0
Heather Hernandez,0,42,8519.64,0,3.99,8,2006-03-01 7:20,"6815 Andrea Isle Lindseyborough, OR 26077-2763","Carr, Esparza and Flores",0
Ryan Chapman,1,44,12361.42,1,3.7,10,2014-11-13 21:11,"PSC 3188, Box 1421 APO AA 49368-5290",Williams Ltd,0
Anthony Mooney,0,41,9014.9,1,4.45,7,2010-11-19 4:30,"9131 Russell Court Suite 160 South Michellefurt, PW 79597",Knight-Price,0
Timothy Henry,0,42,6081.5,0,3.73,8,2011-04-22 16:14,"73765 Crystal Terrace Apt. 641 Ramirezfort, GU 82626-0948","Norris, Chavez and Martinez",0
Vanessa Hayes,1,43,10944.65,1,2.62,9,2010-06-24 21:15,"820 Kristin Lock Suite 348 Emilyhaven, WI 45502-8866",Casey-Stevens,0
Timothy Jacobs,0,40,11764.35,1,5.54,9,2006-09-16 5:57,"835 Potter Field Apt. 413 Port Kristina, IL 58467",Lawson-Jones,0
Austin Melendez,0,44,12155.91,1,4.11,5,2009-07-30 18:11,"697 Mcdowell Pike Lake Phillip, LA 32009-7853","Carlson, Ramos and Johnson",0
Brittany Green,1,41,11971.75,1,5.38,7,2011-02-13 18:26,"1241 Wiley Motorway Prattchester, TN 32961-5246","Smith, Stein and Mueller",0
Michael Perry,0,41,14080.95,1,4.61,7,2015-06-09 20:51,Unit 2093 Box 1530 DPO AA 53596-7800,Stone PLC,0
Theresa Martinez,0,41,6204.86,1,6.08,8,2016-05-12 17:50,"21267 Nixon Coves Moorestad, NH 93322-8817",Howell-Valdez,0
Jessica Gutierrez,0,39,4994.48,0,5.02,8,2016-07-29 12:56,"0347 Glenn Springs Kellyview, GU 58381-4038",Moreno-Sharp,0
James Franklin,0,36,11047.43,0,5.98,8,2006-04-11 5:00,"399 Herbert Key Port Thomas, PR 14265","Wright, Myers and Garcia",0
Julie Francis,0,40,12925.64,0,4.04,7,2013-03-16 6:25,"6656 Edward Manors Apt. 704 Flynnshire, GA 70372","Frank, Knox and Robinson",0
Marissa Nguyen,0,36,8233.25,1,4.35,7,2013-08-24 22:54,"8541 King Spur Suite 184 Aliciafurt, AZ 39457",Mueller LLC,0
Marie Bauer,1,39,9282.33,0,4.52,11,2009-04-08 21:56,"8923 Nunez Cove Apt. 302 New Allisonmouth, MP 01493",Bell-Kelly,0
Thomas Brown,0,46,13383.25,1,5.27,9,2010-04-06 23:18,"5098 Daniel Village Apt. 434 North Josephmouth, NJ 26103-2939",Brown-Estrada,0
Julie Moore,1,40,8911.91,0,6.99,10,2014-11-20 15:27,"67368 Karen Ford Suite 722 Gonzalezfort, MH 57379-8391",Huynh Inc,0
Nicole Jacobson,1,41,8783.13,1,6.2,7,2009-10-08 16:00,"029 Bill Alley Apt. 087 West Kenneth, UT 32896","Hoffman, Leach and Smith",0
John Davis,0,35,12654.35,0,1.66,7,2011-11-01 14:43,"88854 Sarah Lake Suite 435 Lake Steven, MD 39080",Gordon-Pruitt,0
Crystal Mccullough,1,40,6773.23,1,4.29,11,2006-10-17 12:23,"323 Adams Circles Andersonmouth, VI 05122-6749",Hall-Branch,0
Michael Patterson,1,31,9574.89,0,7.34,8,2009-01-27 11:02,"8392 Heather Camp Mackenziefurt, NE 44919-3028","Anderson, Brown and Montes",0
Brianna White,1,45,9722.92,1,3.35,8,2006-01-07 19:04,"087 Kimberly Ridges Thomasbury, MA 73601",Alexander LLC,0
Austin Hays,1,41,9516.87,0,4.94,7,2008-06-15 3:31,"55004 Schmidt Fort Apt. 448 North Samanthaland, AR 63822",Austin Ltd,0
Tammy Kelley,1,38,6638.87,1,5.61,8,2014-07-20 9:42,"41822 Wright Loop Apt. 718 West Kendrabury, CO 10948-4798",Smith and Sons,0
Monique Delgado,1,30,10960.52,1,5.96,9,2007-03-04 2:41,"781 Cassie Flat Austinville, AS 10515-8328",Silva-Guerra,0
Timothy Mcdonald,0,52,11093.87,0,4.38,5,2016-09-30 14:28,"6685 Marie Unions Suite 385 West Kevinfort, MS 77092-9463",Smith-Hawkins,0
Donald Barrett,0,51,10323.07,1,7.03,9,2014-01-14 10:48,"107 Melissa Manors Suite 419 East Teresashire, ME 40421-3419",Zhang-Brown,0
Darin Alexander,0,43,15858.91,1,4.51,8,2008-08-11 2:19,"82216 Garrison Coves Apt. 482 Heathertown, MS 60762",Anderson Group,0
Joseph Taylor,0,40,11309.18,0,4.91,7,2008-08-07 15:34,"170 Kenneth Flats South James, AL 78065",Robertson-Nelson,0
Catherine Martin,0,32,12142.99,0,5.01,7,2013-07-04 23:28,"75224 Powell Point Apt. 653 Lake Norma, AZ 05753",Lee Inc,0
Amber Carr,1,44,10965.95,1,4.11,8,2012-07-03 18:49,"95266 Mary Fort West Kennethmouth, WV 43523","Davis, Mccormick and Carson",0
Brenda Walls,1,51,10877.81,1,8.35,8,2006-05-10 4:40,"078 Nunez Haven Suite 032 East Bradley, SC 36621-1197","Jones, Black and Schneider",0
Carol Young,0,38,7491.55,0,5.66,12,2015-07-28 21:21,"31037 Gregory Creek Brooksmouth, FL 10099",Dunn LLC,0
James Shah,1,47,9324.49,1,4.91,6,2007-11-28 21:26,"66256 Danielle Ford New Maureen, MS 47550","Wilson, Collins and Lee",0
Julie Mitchell,0,45,9034.21,0,6.89,9,2011-06-20 1:07,"8195 Alan Junctions Lake Angela, SC 48151-1612",Jenkins-Johnson,0
Martha Green,1,54,11856.28,0,6.19,8,2014-03-14 17:28,USCGC Patrick FPO AP 72386,"Anderson, Webb and Gordon",0
John Long,1,41,9191.02,1,5.89,9,2013-06-10 16:50,"3142 Michael Shores Apt. 648 Port Kyleview, MA 08135-5259","Hernandez, Peck and Martin",0
Ricky Stewart,0,41,10617.16,0,6.26,8,2006-04-28 11:11,"927 Joseph Lights Lake Anthonyborough, ID 34724","Sutton, Black and Tate",0
Cassandra Proctor,1,49,11321.2,0,4.89,10,2006-03-07 0:11,"1780 Sherry Circle Ruizbury, WI 73815-9062","Smith, Moran and Gonzales",0
Kenneth James,1,41,15516.52,0,3.53,10,2016-01-07 7:31,Unit 7222 Box 4339 DPO AP 13281,Wright Group,0
Shawn Hughes,1,52,5647.92,0,5.08,8,2009-03-16 0:10,"89503 Hurley Wells Suite 603 Port Garrettmouth, MI 00879",Powell-Medina,0
Kim Adams,1,30,8677.28,1,7.31,7,2006-10-13 13:08,"766 Vanessa Villages West Michelle, VA 51730","Wiley, Macdonald and Lewis",0
Katie Wagner,1,43,15423.03,1,2.41,7,2007-05-26 3:19,"4331 Tyler Fall Williamfurt, NC 10542-4839","Galloway, Thornton and Diaz",0
Joshua Cole,1,38,8097.01,0,4.32,7,2011-12-15 7:22,"65431 Elizabeth Rest Apt. 912 Lake Stephanie, SD 65477-1657",Miller LLC,0
Tony Mathews,0,47,9148.74,1,6.38,8,2012-03-26 6:23,"8471 Jason Spur Jasminemouth, AL 19070","Navarro, Williams and Escobar",0
Andrew Kent,0,45,12374.97,0,4.66,7,2011-12-24 17:00,"79904 Jacobson Wells Apt. 852 Josephfort, NV 94414","Briggs, Cross and Norris",0
Nancy Riley,0,36,8646.72,0,6.33,8,2007-04-23 20:03,"65795 Shepard Flats New Sheila, NJ 22914-4957","Thompson, Mendez and Morales",0
Dr. Tina Le,1,53,10338.09,1,5.07,7,2007-04-07 9:21,"94016 Hill Village Suite 984 New Kristyfort, TN 68508-8351",Steele LLC,0
Jonathan Brown,0,38,13019.89,1,6.65,8,2011-01-24 12:28,"073 Ryan Haven Suite 323 New Jonathan, DC 25812-0853",Munoz-Pearson,0
Amy Baldwin,0,41,13743.42,0,3.92,9,2009-11-01 10:37,"596 Erica Route Apt. 258 New Janice, IN 57273",Morgan-Garcia,0
